Product URL,Product Name,Product Price,Rating,Number of reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_94?keywords=bags&qid=1679378463&sr=8-94,TRAWOC 80L Travel Backpack for Men & Women Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack,"₹2,380.00",4.4,"6,925 ratings","Fit Type: Relaxed    SMART & TRENDY LOOKS: This Large 81 x 32 x 27 Cm rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack backpack for men and women looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. A premium travel backpack with spacious shoe compartment for a pair of shoes.    ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. Perfect for tourists on long travels, our spacious tour bag    INTEGRATED RAIN COVER: Our backpacks are ideal for travelling adventurers who encounter different weather conditions. The waterproof integrated rain cover and water-resistant fabric provide long-lasting protection for your gear. Stay prepared for any weather condition with our reliable backpacks.    1 YEAR WARRANTY : Invest in this versatile bag with a 1-year manufacturer warranty, perfect for flight travel, backpackers, and bike riders alike. Enjoy peace of mind knowing your belongings are protected..",B0847PGZZM,"A backpack with Top & Front loading    Our rucksack has top zipper compartment which allows access to your items from the top. In this way, you can keep the items in this compartment which are required frequently. The 80 litre capacity will ensure that you are able to fit all of your equipment in it comfortably. Multiple compartments with zips keeps your items secure and separate. Along with these there are plenty of other compartments suitable for storing your valuables.",TRAWOC
https://www.amazon.in/POLESTAR-%C3%82-POLESTAR-Ranker-Bagpack-Backpack/dp/B084C84GTR/ref=sr_1_95?keywords=bags&qid=1679378463&sr=8-95,"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",₹669.00,4.1,"7,614 ratings","Care Instructions: Wipe with Damp Cloth    PADDED LAPTOP COMPARTMENT WITH MAXED OUT STORAGE : Generous 32 Ltrs backpack with Dimension of 30 Cm x 20 Cm x 45 Cm 3 full size compartments, 1 front zipper & 2 side pockets, 1 Raincover pocket at bottom Fits upto 15.6 inches Laptop with elasticated strap lock at just 560 grams.    CRAFTED WITH PRECISION : Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar Ranker backpack is a blend of style and utility. A classic design with opulent detailing and aesthetic silhouette adds to your style and keeps your belongings safe.    COMFORTABLE CARRY : This strong and impervious backpack is a fabulous choice for daily use. Guaranteed for strength and durability, it has padded breathable mesh back and adjustable straps. The interiors have added foam padding to protected electronics. Ergo-Grip Backstraps that distribute weight evenly over your shoulders and back, while the integrated top grab handle lets you move effortlessly.    BENEFITS: 3 main compartments provide optimal organisation, with premium zippers keeping your valuables protected, padded haul loop, two side water bottle pockets help keep your goods dry and body hydrated.    VERSATILITY : This made in india versatile backpack comes with 12 months warranty, and is perfect for everyone, men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks. All in one RANKER BACKPACK by Polestar.",B084C84GTR,,No
https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_96?keywords=bags&qid=1679378463&sr=8-96,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),"₹1,499.00",4.3,875 ratings,"Stylish, gaming-inspired design with the cyber-text pattern and ROG Logo. Material : Polyester    Quick-access exterior pocket for your essential accessories    Generous 16L interior for easy transport of an up 15.6-inch laptop    It also features Ghost chain for better security, Large air mesh back & Luggage strap",,,
https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_97?keywords=bags&qid=1679378463&sr=8-97,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",₹949,3.7,822 ratings,"100% Polyester, High Quality, Durable and Water Resistant Fabric    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh pockets on both sides to accommodate your water bottle and umbrella    USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag; 1-year International Warranty against manufacturing defects    Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult",B09B2581S9,,Safari Industries
https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_98?keywords=bags&qid=1679378463&sr=8-98,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,₹440.00,3.9,"2,527 ratings","Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant    Capacity: 20 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable    Special Features: Laptop Compartment; Closure Type: Zipper; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Age Range Description: Adult",B0757K36YV,,Gear Merchandise PVT LTD
https://www.amazon.in/Medela-Breastmilk-Storage-Bags-Pieces/dp/B075R5R1LR/ref=sr_1_99?keywords=bags&qid=1679378463&sr=8-99,"Medela Breastmilk Storage Bags,White, 25 Pieces",₹840.00,4.7,"2,938 ratings","The double-walled bags have a leak-proof double zipper, ensuring safe freezer storage    The bags are hygienically pre-sealed and the flat shape of the bags makes it quick to thaw breast milk    The large area for labelling and dating the bags makes it easy to keep track of your stock of milk    The bags are made from food-grade, bpa-free material    Lays flat for space-saving and requires less storage space than conventional bottles    The breast milk storage bags -stand up for easy handling    Safe materials for you and your baby    Instructions Included",,,
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_100?keywords=bags&qid=1679378463&sr=8-100,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",₹512.00,4.0,435 ratings,"PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .    COMPREHENSIVE WORKSPACE: Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. It can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men .bags for travelling.    COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .    COMPACT AND EASY TO CARRY: Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;    MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.",,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTc3MTA5MjQ1NjM3NDYyOjE2NzkzNzg0NjM6c3BfYnRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_101_sspa%3Fkeywords%3Dbags%26qid%3D1679378463%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","₹1,900",4.9,23 ratings,"Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BR1C59R8,,Acefour Accessories Pvt. Ltd.
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTc3MTA5MjQ1NjM3NDYyOjE2NzkzNzg0NjM6c3BfYnRmOjIwMDYzNzg0NDU4Mjk4OjowOjo&url=%2Fuppercase-Backpack-1600EBP1-repellent-sustainable%2Fdp%2FB0B5N9TY9C%2Fref%3Dsr_1_102_sspa%3Fkeywords%3Dbags%26qid%3D1679378463%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Laptop Backpack 1600EBP Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty","₹1,100",4.2,171 ratings,"Padded laptop compartment fits up to 14 inch laptop, Front Access pocket & Back padding with Air mesh",B0B5N9TY9C,,Acefour Accessories Pvt. Ltd.
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDc2NTk5NTA0NzcyMjc5OjE2NzkzNzg0NjU6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dbags%26qid%3D1679378465%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack,₹528.00,5.0,2 ratings,"Care Instructions: Dry Clean Only    30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.    Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.    Made In India: Lookmuster Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks    Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.",B0BS6YGKMC,"Latest Stylish Backpack    Laptop Backpack   The Killer Louis backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.",Lookmuster
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDc2NTk5NTA0NzcyMjc5OjE2NzkzNzg0NjU6c3BfYXRmX25leHQ6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dbags%26qid%3D1679378465%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600.00",4.1,243 ratings,"Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage    Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides",B0BWNCV31F,,Acefour Accessories Pvt. Ltd.
https://www.amazon.in/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD/ref=sr_1_99?keywords=bags&qid=1679378465&sr=8-99,LL LEATHER LAND DESIGNER BAGS Women Sling Bag,₹299.00,4.0,"1,627 ratings","Lethereette SLing bag    Stylish Sling in 9 inches height,10 inches length and 4 inches width    Water Proof    Adjustable strap",B0BD4TTDHD,,LL LEATHER LAND DESIGNER BAGS
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_100?keywords=bags&qid=1679378465&sr=8-100,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",₹512.00,4.0,435 ratings,"PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .    COMPREHENSIVE WORKSPACE: Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. It can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men .bags for travelling.    COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .    COMPACT AND EASY TO CARRY: Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;    MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.",,,
https://www.amazon.in/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ/ref=sr_1_101?keywords=bags&qid=1679378465&sr=8-101,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),₹899.00,4.3,404 ratings,"Padded, Comfortable Shoulder Strap    Easy access front pocket    Soft Grip handles    Stylish Design",B0B527KJQZ,,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
https://www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG/ref=sr_1_102?keywords=bags&qid=1679378465&sr=8-102,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",₹429.00,3.9,"1,241 ratings","Generous overall size of 32 x 15 x 44 cm (LxBxH)    2 compartments, including a padded laptop compartment ideal for carrying laptops up to 15.6 inches    Bottle pockets on both sides for storing bottles, earphones, tickets and other smaller items    Made with wear-resistant Polyester material for a longer life    Reflectors on backpack promote visibility at night when on the road",,,
